Region,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bakool,10,12,9,6,9,5,10,13,24,13,6,10,127
Banadir,26,31,31,17,33,15,21,15,19,15,8,28,259
Bay,21,26,30,26,21,19,35,28,30,16,13,33,298
Gedo,6,11,10,5,1,7,8,12,16,8,2,5,91
Hiraan,43,27,28,27,14,23,28,30,19,20,8,14,281
Lower Juba,26,18,22,25,12,14,37,19,27,17,16,17,250
Lower Shabelle,73,74,50,52,76,99,62,67,77,82,92,100,904
Middle Juba,1,1,3,2,6,6,1,4,4,7,2,4,41
Middle Shabelle,10,15,16,13,10,17,18,19,15,10,10,18,171
